4.0 -626.27948654
5.0 -626.38812983
6.0 -626.36917221
7.0 -626.34411366
8.0 -626.40456855
9.0 -626.40690576
10.0 -626.40351832
11.0 -626.40077358
12.0 -626.39540859
13.0 -626.39848993
14.0 -626.40532252
15.0 -626.4108917
16.0 -626.40382187
17.0 -626.40973764
18.0 -626.40745999
19.0 -626.40730914
20.0 -626.41159146
21.0 -626.40858896
22.0 -626.40898789
23.0 -626.41182331
24.0 -626.41198584
25.0 -626.40753413
26.0 -626.40739356
27.0 -626.40827108
28.0 -626.4074531
29.0 -626.4091195
30.0 -626.40807107
31.0 -626.40856468
